pair,label,side,truth_x,truth_y,any_detected,mole_detected,mole_distance,mole_x,mole_y,mole_score,brown_patch_detected,brown_patch_distance,brown_patch_x,brown_patch_y,brown_patch_score,stable_spot_detected,stable_spot_distance,stable_spot_x,stable_spot_y,stable_spot_score
Pair 1,blue,image1,1036.9,360.0,True,False,137.17,1016.15,495.59,47.991,True,20.31,1046.64,377.83,30.425,True,33.57,1048.5,391.5,41.127
Pair 1,blue,image2,1043.43,415.15,True,False,304.78,782.0,571.82,43.603,True,10.47,1048.32,424.41,34.332,False,319.27,975.08,103.28,74.506
Pair 1,magenta,image1,340.3,343.52,True,True,2.39,342.11,345.07,38.575,True,6.64,346.57,341.34,30.211,True,2.39,342.11,345.07,49.382
Pair 1,magenta,image2,271.58,434.25,True,True,38.43,285.19,470.19,56.17,True,15.97,277.35,449.14,37.232,True,20.2,283.3,450.7,43.818
Pair 1,red,image1,144.13,728.0,True,True,13.69,157.43,724.74,41.667,True,14.28,158.41,728.32,32.757,True,16.37,160.0,732.0,50.245
Pair 1,red,image2,67.14,838.84,False,False,182.54,246.58,872.33,45.889,False,143.79,210.85,833.97,35.262,False,183.47,247.5,872.5,54.559
Pair 1,yellow,image1,505.94,685.0,True,False,63.73,550.5,730.57,43.909,True,32.59,535.36,671.0,34.166,True,13.22,518.02,690.37,75.481
Pair 1,yellow,image2,444.3,793.44,True,True,3.43,442.43,790.57,42.944,True,4.74,440.19,795.8,40.109,True,2.96,442.95,790.81,50.594
Pair 2,blue,image1,666.6,888.12,True,True,9.37,669.29,879.14,84.214,True,10.69,669.69,877.89,50.805,True,9.09,669.5,879.5,101.415
Pair 2,blue,image2,801.16,924.57,True,True,8.57,795.69,917.97,81.61,True,8.58,796.28,917.52,56.252,True,8.73,795.3,918.1,99.949
Pair 2,cyan,image1,621.03,1439.57,True,True,12.21,621.0,1427.36,74.721,True,14.69,617.67,1425.27,52.52,True,18.92,614.0,1422.0,97.888
Pair 2,cyan,image2,770.99,1489.29,False,False,230.23,547.78,1432.87,96.072,False,103.58,686.58,1429.27,47.968,False,229.44,548.58,1432.96,117.957
Pair 2,green,image1,412.75,995.47,True,False,242.34,556.0,800.0,65.746,True,6.19,412.1,989.31,47.555,False,269.56,426.33,726.25,92.418
Pair 2,green,image2,538.65,1066.84,True,False,181.87,357.48,1082.76,76.813,True,15.42,539.54,1051.45,51.148,False,181.87,357.48,1082.76,94.288
Pair 2,magenta,image1,877.73,491.36,True,False,112.23,799.0,571.34,101.079,True,6.08,873.87,486.67,47.922,False,107.14,867.22,384.74,109.072
Pair 2,magenta,image2,964.53,541.93,True,False,96.65,899.05,613.03,90.482,True,10.9,958.29,532.99,51.842,False,96.32,899.22,612.72,111.708
Pair 2,red,image1,801.15,580.75,True,True,9.65,799.0,571.34,101.079,True,9.84,798.12,571.39,55.288,True,9.81,799.37,571.1,124.016
Pair 2,red,image2,905.65,619.38,True,True,9.16,899.05,613.03,90.482,True,9.82,898.18,613.01,57.879,True,9.26,899.22,612.72,111.708
Pair 2,yellow,image1,363.39,1155.28,True,False,209.89,393.5,1363.0,79.266,True,13.1,358.74,1143.03,47.034,False,209.96,394.0,1363.0,97.355
Pair 2,yellow,image2,498.4,1226.61,True,False,192.95,347.0,1107.0,44.895,True,15.48,487.99,1215.15,50.198,False,201.37,357.48,1082.76,94.288
Pair 3,green,image1,65.31,488.88,True,True,38.09,82.35,522.94,44.883,True,20.48,79.05,473.69,35.222,False,107.37,160.46,439.14,57.798
Pair 3,green,image2,64.8,824.92,False,False,180.43,203.93,710.03,46.616,False,142.22,206.85,831.97,35.262,False,179.1,203.0,711.0,55.93
Pair 3,orange,image1,625.0,263.23,True,True,5.52,619.5,263.75,38.484,True,12.08,634.09,271.18,36.013,True,30.39,650.0,280.5,50.638
Pair 3,orange,image2,1034.93,400.86,True,False,307.51,778.0,569.82,43.603,True,23.51,1044.32,422.41,34.332,False,306.31,971.08,101.28,74.506
Pair 3,red,image1,172.73,274.69,True,True,8.74,174.87,266.22,57.279,True,21.07,192.44,282.15,40.906,True,4.33,175.0,271.0,46.315
Pair 3,red,image2,257.59,425.9,True,True,42.23,225.12,398.91,50.286,True,26.13,273.26,446.81,37.39,True,31.48,279.3,448.7,43.818
Pair 3,yellow,image1,275.79,465.92,True,True,17.77,290.33,476.13,76.247,True,23.95,299.68,467.55,40.241,True,17.77,290.56,475.81,93.837
Pair 3,yellow,image2,438.15,778.66,True,True,9.92,438.43,788.57,42.944,True,15.36,436.1,793.88,40.142,True,10.18,438.95,788.81,50.594
Pair 4,cyan,image1,560.78,675.54,True,True,4.88,565.0,678.0,73.831,True,4.43,565.06,674.41,62.754,True,10.79,568.5,668.0,108.8
Pair 4,cyan,image2,197.18,95.64,False,False,482.99,564.44,409.32,66.267,False,481.25,563.38,407.9,44.991,False,476.16,560.0,404.0,59.013
Pair 4,orange,image1,670.75,918.71,True,True,5.98,673.3,913.3,80.444,True,6.24,674.18,913.5,60.789,False,114.1,608.0,1014.0,96.998
Pair 4,orange,image2,877.64,1306.51,True,True,7.21,871.23,1303.23,58.035,True,13.74,868.63,1296.14,50.62,True,7.61,871.3,1302.3,75.998
Pair 4,red,image1,764.71,672.67,True,True,4.22,768.64,671.14,91.459,True,3.86,768.02,670.69,63.836,True,4.36,768.67,670.83,113.081
Pair 4,red,image2,1010.95,698.73,True,True,9.91,1001.05,698.11,102.056,True,11.79,999.16,698.74,57.109,True,9.07,1001.88,698.76,127.994
