pair,label,image1_x,image1_y,image2_x,image2_y,image1,image2,labeled
Pair 1,blue,1036.9,360.0,1043.43,415.15,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 1/Screenshot 2026-06-16 at 10.53.57 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 1/Screenshot 2026-06-16 at 10.54.05 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 1/Screenshot 2026-06-16 at 10.58.05 AM.png
Pair 1,magenta,340.3,343.52,271.58,434.25,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 1/Screenshot 2026-06-16 at 10.53.57 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 1/Screenshot 2026-06-16 at 10.54.05 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 1/Screenshot 2026-06-16 at 10.58.05 AM.png
Pair 1,red,144.13,728.0,67.14,838.84,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 1/Screenshot 2026-06-16 at 10.53.57 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 1/Screenshot 2026-06-16 at 10.54.05 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 1/Screenshot 2026-06-16 at 10.58.05 AM.png
Pair 1,yellow,505.94,685.0,444.3,793.44,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 1/Screenshot 2026-06-16 at 10.53.57 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 1/Screenshot 2026-06-16 at 10.54.05 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 1/Screenshot 2026-06-16 at 10.58.05 AM.png
Pair 2,blue,666.6,888.12,801.16,924.57,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 2/Screenshot 2026-06-16 at 11.00.00 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 2/Screenshot 2026-06-16 at 11.00.08 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 2/Screenshot 2026-06-16 at 11.05.12 AM.png
Pair 2,cyan,621.03,1439.57,770.99,1489.29,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 2/Screenshot 2026-06-16 at 11.00.00 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 2/Screenshot 2026-06-16 at 11.00.08 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 2/Screenshot 2026-06-16 at 11.05.12 AM.png
Pair 2,green,412.75,995.47,538.65,1066.84,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 2/Screenshot 2026-06-16 at 11.00.00 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 2/Screenshot 2026-06-16 at 11.00.08 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 2/Screenshot 2026-06-16 at 11.05.12 AM.png
Pair 2,magenta,877.73,491.36,964.53,541.93,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 2/Screenshot 2026-06-16 at 11.00.00 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 2/Screenshot 2026-06-16 at 11.00.08 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 2/Screenshot 2026-06-16 at 11.05.12 AM.png
Pair 2,red,801.15,580.75,905.65,619.38,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 2/Screenshot 2026-06-16 at 11.00.00 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 2/Screenshot 2026-06-16 at 11.00.08 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 2/Screenshot 2026-06-16 at 11.05.12 AM.png
Pair 2,yellow,363.39,1155.28,498.4,1226.61,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 2/Screenshot 2026-06-16 at 11.00.00 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 2/Screenshot 2026-06-16 at 11.00.08 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 2/Screenshot 2026-06-16 at 11.05.12 AM.png
Pair 3,green,65.31,488.88,64.8,824.92,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 3/Screenshot 2026-06-16 at 11.06.54 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 3/Screenshot 2026-06-16 at 11.07.01 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 3/Screenshot 2026-06-16 at 11.09.50 AM.png
Pair 3,orange,625.0,263.23,1034.93,400.86,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 3/Screenshot 2026-06-16 at 11.06.54 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 3/Screenshot 2026-06-16 at 11.07.01 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 3/Screenshot 2026-06-16 at 11.09.50 AM.png
Pair 3,red,172.73,274.69,257.59,425.9,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 3/Screenshot 2026-06-16 at 11.06.54 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 3/Screenshot 2026-06-16 at 11.07.01 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 3/Screenshot 2026-06-16 at 11.09.50 AM.png
Pair 3,yellow,275.79,465.92,438.15,778.66,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 3/Screenshot 2026-06-16 at 11.06.54 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 3/Screenshot 2026-06-16 at 11.07.01 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 3/Screenshot 2026-06-16 at 11.09.50 AM.png
Pair 4,cyan,560.78,675.54,197.18,95.64,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 4/Screenshot 2026-06-16 at 11.12.47 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 4/Screenshot 2026-06-16 at 11.12.56 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 4/Screenshot 2026-06-16 at 11.17.42 AM.png
Pair 4,orange,670.75,918.71,877.64,1306.51,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 4/Screenshot 2026-06-16 at 11.12.47 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 4/Screenshot 2026-06-16 at 11.12.56 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 4/Screenshot 2026-06-16 at 11.17.42 AM.png
Pair 4,red,764.71,672.67,1010.95,698.73,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 4/Screenshot 2026-06-16 at 11.12.47 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 4/Screenshot 2026-06-16 at 11.12.56 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 4/Screenshot 2026-06-16 at 11.17.42 AM.png
Pair 4,yellow,757.62,538.43,938.22,410.73,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 4/Screenshot 2026-06-16 at 11.12.47 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 4/Screenshot 2026-06-16 at 11.12.56 AM.png,/Users/jonathanrhee/Desktop/Corresponding Landmarks/Pair 4/Screenshot 2026-06-16 at 11.17.42 AM.png
